model_group,year,normalized_theme,count,year_total_real,percentage
ChatGPT,2000,love_relationships,50,100,50.0
ChatGPT,2000,heartbreak_loss,15,100,15.0
ChatGPT,2000,sex_desire,10,100,10.0
ChatGPT,2000,self_reflection_growth,7,100,7.0
ChatGPT,2000,empowerment_confidence,5,100,5.0
ChatGPT,2000,party_celebration,4,100,4.0
ChatGPT,2000,lifestyle_success,4,100,4.0
ChatGPT,2000,social_commentary,3,100,3.0
ChatGPT,2000,faith_spirituality,2,100,2.0
ChatGPT,2000,other,0,100,0.0
ChatGPT,2001,love_relationships,43,99,43.43434343434343
ChatGPT,2001,heartbreak_loss,15,99,15.151515151515152
ChatGPT,2001,sex_desire,11,99,11.11111111111111
ChatGPT,2001,self_reflection_growth,10,99,10.1010101010101
ChatGPT,2001,empowerment_confidence,8,99,8.080808080808081
ChatGPT,2001,party_celebration,7,99,7.070707070707071
ChatGPT,2001,lifestyle_success,4,99,4.040404040404041
ChatGPT,2001,social_commentary,1,99,1.0101010101010102
ChatGPT,2001,faith_spirituality,0,99,0.0
ChatGPT,2001,other,0,99,0.0
ChatGPT,2002,love_relationships,41,100,41.0
ChatGPT,2002,heartbreak_loss,13,100,13.0
ChatGPT,2002,sex_desire,11,100,11.0
ChatGPT,2002,self_reflection_growth,10,100,10.0
ChatGPT,2002,empowerment_confidence,8,100,8.0
ChatGPT,2002,party_celebration,6,100,6.0
ChatGPT,2002,lifestyle_success,7,100,7.0
ChatGPT,2002,social_commentary,2,100,2.0
ChatGPT,2002,faith_spirituality,2,100,2.0
ChatGPT,2002,other,0,100,0.0
ChatGPT,2003,love_relationships,37,100,37.0
ChatGPT,2003,heartbreak_loss,13,100,13.0
ChatGPT,2003,sex_desire,16,100,16.0
ChatGPT,2003,self_reflection_growth,9,100,9.0
ChatGPT,2003,empowerment_confidence,9,100,9.0
ChatGPT,2003,party_celebration,8,100,8.0
ChatGPT,2003,lifestyle_success,1,100,1.0
ChatGPT,2003,social_commentary,6,100,6.0
ChatGPT,2003,faith_spirituality,1,100,1.0
ChatGPT,2003,other,0,100,0.0
ChatGPT,2004,love_relationships,30,98,30.612244897959183
ChatGPT,2004,heartbreak_loss,13,98,13.26530612244898
ChatGPT,2004,sex_desire,20,98,20.408163265306122
ChatGPT,2004,self_reflection_growth,7,98,7.142857142857143
ChatGPT,2004,empowerment_confidence,5,98,5.1020408163265305
ChatGPT,2004,party_celebration,11,98,11.224489795918368
ChatGPT,2004,lifestyle_success,6,98,6.122448979591836
ChatGPT,2004,social_commentary,4,98,4.081632653061225
ChatGPT,2004,faith_spirituality,2,98,2.0408163265306123
ChatGPT,2004,other,0,98,0.0
ChatGPT,2005,love_relationships,33,100,33.0
ChatGPT,2005,heartbreak_loss,13,100,13.0
ChatGPT,2005,sex_desire,16,100,16.0
ChatGPT,2005,self_reflection_growth,9,100,9.0
ChatGPT,2005,empowerment_confidence,7,100,7.0
ChatGPT,2005,party_celebration,11,100,11.0
ChatGPT,2005,lifestyle_success,7,100,7.0
ChatGPT,2005,social_commentary,2,100,2.0
ChatGPT,2005,faith_spirituality,0,100,0.0
ChatGPT,2005,other,2,100,2.0
ChatGPT,2006,love_relationships,27,100,27.0
ChatGPT,2006,heartbreak_loss,13,100,13.0
ChatGPT,2006,sex_desire,27,100,27.0
ChatGPT,2006,self_reflection_growth,10,100,10.0
ChatGPT,2006,empowerment_confidence,4,100,4.0
ChatGPT,2006,party_celebration,7,100,7.0
ChatGPT,2006,lifestyle_success,6,100,6.0
ChatGPT,2006,social_commentary,4,100,4.0
ChatGPT,2006,faith_spirituality,1,100,1.0
ChatGPT,2006,other,1,100,1.0
ChatGPT,2007,love_relationships,28,99,28.282828282828284
ChatGPT,2007,heartbreak_loss,16,99,16.161616161616163
ChatGPT,2007,sex_desire,18,99,18.181818181818183
ChatGPT,2007,self_reflection_growth,6,99,6.0606060606060606
ChatGPT,2007,empowerment_confidence,11,99,11.11111111111111
ChatGPT,2007,party_celebration,7,99,7.070707070707071
ChatGPT,2007,lifestyle_success,8,99,8.080808080808081
ChatGPT,2007,social_commentary,5,99,5.05050505050505
ChatGPT,2007,faith_spirituality,0,99,0.0
ChatGPT,2007,other,0,99,0.0
ChatGPT,2008,love_relationships,35,99,35.35353535353536
ChatGPT,2008,heartbreak_loss,8,99,8.080808080808081
ChatGPT,2008,sex_desire,20,99,20.2020202020202
